source,target,weight
4,37,836.0
4,39,630.0
4,44,642.0
4,48,743.0
4,53,778.0
6,39,723.0
6,44,735.0
6,53,871.0
6,56,746.0
6,112,938.0
35,37,876.0
35,38,746.0
35,104,1077.0
37,38,960.0
37,39,884.0
37,44,896.0
37,45,954.0
37,88,922.0
37,104,1291.0
37,170,916.0
38,35,746.0
38,37,960.0
38,39,754.0
38,44,766.0
38,88,792.0
38,99,845.0
38,104,1161.0
39,37,884.0
39,44,690.0
39,88,716.0
39,89,2801.0
39,90,704.0
44,37,896.0
44,39,690.0
44,53,838.0
44,88,728.0
44,89,2813.0
44,120,723.0
45,37,954.0
45,39,748.0
45,44,760.0
45,104,1155.0
45,170,780.0
48,44,803.0
48,53,939.0
48,56,814.0
48,112,1006.0
53,39,826.0
53,44,838.0
53,48,939.0
53,120,859.0
56,6,746.0
56,44,713.0
56,48,814.0
56,53,849.0
56,120,734.0
79,87,995.0
79,99,1041.0
87,79,995.0
88,39,716.0
88,44,728.0
88,89,2839.0
88,90,742.0
89,120,2834.0
89,634,3167.0
89,2264,2938.0
90,39,704.0
90,88,742.0
90,89,2827.0
90,120,737.0
90,593,3135.0
99,38,845.0
99,79,1041.0
99,88,807.0
104,37,1291.0
104,38,1161.0
104,39,1085.0
104,44,1097.0
104,45,1155.0
104,88,1123.0
104,170,1117.0
112,53,1041.0
112,120,926.0
120,89,2834.0
120,634,1077.0
120,1197,690.0
170,37,916.0
170,39,710.0
170,44,722.0
170,45,780.0
170,104,1117.0
325,6,830.0
325,89,2908.0
523,591,894.0
523,593,3246.0
523,594,799.0
523,595,1073.0
582,1393,1098.0
589,591,810.0
591,593,3188.0
591,595,1015.0
593,591,3188.0
593,595,3367.0
593,975,3189.0
593,977,5361.0
594,591,741.0
594,593,3093.0
594,595,920.0
594,975,742.0
594,977,2914.0
595,591,1015.0
595,593,3367.0
595,975,1016.0
634,89,3167.0
634,120,1077.0
975,591,837.0
975,593,3189.0
975,594,742.0
975,595,1016.0
975,977,3010.0
977,593,5361.0
977,594,2914.0
977,595,3188.0
977,975,3010.0
1197,89,2780.0
1197,120,690.0
1197,634,1023.0
1393,582,1098.0
1393,1843,869.0
1712,53,814.0
1843,591,896.0
1843,593,3248.0
1843,595,1075.0
1843,975,897.0
1843,2059,826.0
1843,2060,776.0
2059,1843,826.0
2059,2132,790.0
2060,582,1005.0
2060,1843,776.0
2060,2692,653.0
2132,589,834.0
2132,1843,920.0
2132,2059,790.0
2132,2136,763.0
2132,2138,749.0
2136,2132,763.0
2136,2138,628.0
2138,2132,749.0
2138,2136,628.0
2264,89,2938.0
2612,4455,2173.0
2612,4458,2204.0
2612,4459,2046.0
2612,4460,2072.0
2629,2264,791.0
2692,582,1062.0
3580,5114,939.0
3828,4949,891.0
3828,4953,916.0
4056,89,2778.0
4056,634,1021.0
4455,2612,2173.0
4455,4458,1023.0
4455,4459,865.0
4455,4460,891.0
4455,7682,820.0
4458,89,2989.0
4458,2612,2204.0
4458,4455,1023.0
4458,4459,896.0
4458,4460,922.0
4458,7682,851.0
4459,2612,2046.0
4459,4455,865.0
4459,4458,896.0
4459,4460,764.0
4459,7682,693.0
4460,2612,2072.0
4460,4455,891.0
4460,4458,922.0
4949,3828,891.0
4949,4953,817.0
4953,3828,916.0
4953,4949,817.0
5114,3580,939.0
7241,8937,793.0
7243,7241,882.0
7243,8934,845.0
7243,8937,731.0
7452,14589,888.0
7682,2612,2001.0
7682,4455,820.0
7682,4458,851.0
7682,4459,693.0
7682,4460,719.0
8547,593,3076.0
8547,12642,1027.0
8547,14379,753.0
8547,14380,693.0
8548,977,2887.0
8934,7241,907.0
8934,10994,737.0
8937,7241,793.0
8937,7243,731.0
10994,8934,737.0
10994,10999,1613.0
10999,10994,1613.0
10999,18534,1612.0
12642,14380,1108.0
12642,25015,1059.0
14379,8547,753.0
14380,8547,693.0
14380,12642,1108.0
14380,14379,834.0
14589,7452,888.0
15270,21847,744.0
18534,10999,1612.0
18534,12392,826.0
21042,8548,677.0
21042,21043,763.0
21042,21044,730.0
21043,8548,678.0
21043,21042,763.0
21043,21044,731.0
21044,8548,645.0
21044,21042,730.0
21044,21043,731.0
21847,15270,744.0
24593,56545,840.0
25015,12642,1059.0
32613,32614,892.0
32613,32909,808.0
32613,32916,722.0
32614,32613,892.0
32614,32909,1052.0
32614,32916,966.0
32909,32613,808.0
32909,32614,1052.0
32909,32916,882.0
32916,32613,722.0
32916,32614,966.0
32916,32909,882.0
33349,56948,885.0
39593,48994,815.0
41037,45942,1195.0
41037,76248,1301.0
48994,39593,815.0
56545,24593,840.0
56948,33349,885.0
76248,41037,1301.0
